,x,y,z,IC
10368,1,163,1,2.2632763594863645
10369,1,163,2,2.282597533082761
10370,1,163,3,2.294395999592907
10371,1,163,4,2.298177148613357
10372,1,163,5,2.294192133783868
10373,1,163,6,2.3112281189332267
10374,1,163,7,2.3060007206240503
10375,1,163,8,2.308939306017967
10376,1,163,9,2.3221818822985374
10377,1,163,10,2.3477910317567376
10378,1,163,11,2.38741138510468
10379,1,163,12,2.441936986907624
10380,1,163,13,2.5112364056968053
10381,1,163,14,2.593978045791146
10382,1,163,15,2.6875866847602827
10383,1,163,16,2.7883461997455563
10384,1,163,17,2.89164483446465
10385,1,163,18,2.9923406637770436
10386,1,163,19,3.0852086565964085
10387,1,163,20,3.1654191516497825
10388,1,163,21,3.2289922732066194
10389,1,163,22,3.2731746223448557
10390,1,163,23,3.2966933307783433
10391,1,163,24,3.2998571687893077
10392,1,163,25,3.2844929711827175
10393,1,163,26,3.2537257572791525
10394,1,163,27,3.211629930134509
10395,1,163,28,3.1627943485009897
10396,1,163,29,3.111853859776085
10397,1,163,30,3.0630428100868423
10398,1,163,31,3.019821785044975
10399,1,163,32,2.9846180294561178
10400,1,163,33,2.9587041737998248
10401,1,163,34,2.942221253339496
10402,1,163,35,2.9343330974607236
10403,1,163,36,2.93348255498922
10404,1,163,37,2.9377079223659384
10405,1,163,38,2.944971921925722
10406,1,163,39,2.9534563408738634
10407,1,163,40,2.961782738185972
10408,1,163,41,2.9691322962905904
10409,1,163,42,2.9752540363997824
10410,1,163,43,2.980367863124824
10411,1,163,44,2.9849847587821126
10412,1,163,45,2.9896786391459664
10413,1,163,46,2.99485118549445
10414,1,163,47,3.0005314469642044
10415,1,163,48,2.3035708409416538
10416,1,163,49,2.3170566585237395
10417,1,163,50,2.3255511034690506
10418,1,163,51,2.329012828422312
10419,1,163,52,2.3276602258948675
10420,1,163,53,2.322018337221841
10421,1,163,54,2.312932301542891
10422,1,163,55,1.6236116083835361
10423,1,163,56,1.5586786282762148
10424,1,163,57,1.4846313548385774
10425,1,163,58,1.405199247154469
10426,1,163,59,1.3245297895989139
10427,1,163,60,1.2469540241601351
10428,1,163,61,1.176742504218379
10429,1,163,62,1.117866526869268
10430,1,163,63,1.0737778365797708
10431,1,163,64,1.0472176826410216
42368,2,163,1,2.249377187611756
42369,2,163,2,2.270750452272768
42370,2,163,3,2.2847677018918007
42371,2,163,4,2.290832883349222
42372,2,163,5,2.2890928074423873
42373,2,163,6,2.280363432863822
42374,2,163,7,2.30057280317889
42375,2,163,8,2.3050384823427192
42376,2,163,9,2.319895140776727
42377,2,163,10,2.3471727260895863
42378,2,163,11,2.388485588417745
42379,2,163,12,2.4446985131359056
42380,2,163,13,2.5156497665790454
42381,2,163,14,2.599974213923723
42382,2,163,15,2.695058204146798
42383,2,163,16,2.797141808294644
42384,2,163,17,2.90156522303885
42385,2,163,18,3.003137198823675
42386,2,163,19,3.096586779057147
42387,2,163,20,3.1770477215421438
42388,2,163,21,3.240519396077697
42389,2,163,22,3.284249558066228
42390,2,163,23,3.306993072173114
42391,2,163,24,3.30911533417136
42392,2,163,25,3.2925279290167047
42393,2,163,26,3.260464520449093
42394,2,163,27,3.2171244093616918
42395,2,163,28,3.1672270720530444
42396,2,163,29,3.115531219890737
42397,2,163,30,3.066375193627642
42398,2,163,31,3.023291442245841
42399,2,163,32,2.988737049921181
42400,2,163,33,2.963966279811065
42401,2,163,34,2.949052105756264
42402,2,163,35,2.943044294605471
42403,2,163,36,2.944234402755073
42404,2,163,37,2.9504853481414814
42405,2,163,38,2.9595766551860003
42406,2,163,39,2.9695168192373655
42407,2,163,40,2.9787813050992047
42408,2,163,41,2.9864473547449806
42409,2,163,42,2.9922131384234762
42410,2,163,43,2.9963064517721096
42411,2,163,44,2.9993045947483123
42412,2,163,45,3.0018999266306308
42413,2,163,46,3.0046530701792538
42414,2,163,47,3.007776819813729
42415,2,163,48,2.319447770409341
42416,2,163,49,2.334029847288664
42417,2,163,50,2.343608918320959
42418,2,163,51,2.348127122423172
42419,2,163,52,2.3477750293836
42420,2,163,53,2.343039160986023
42421,2,163,54,2.3347174990239674
42422,2,163,55,1.615624695058169
42423,2,163,56,1.5499223492472518
42424,2,163,57,1.4750334325387373
42425,2,163,58,1.3947835095335495
42426,2,163,59,1.3134164517314926
42427,2,163,60,1.2353533659368456
42428,2,163,61,1.1649426657702813
42429,2,163,62,1.1062165004817213
42430,2,163,63,1.0626669667802038
42431,2,163,64,1.0370530910350775
74368,3,163,1,2.235102282560189
74369,3,163,2,2.25845975483549
74370,3,163,3,2.2746285637008614
74371,3,163,4,2.2829115608658292
74372,3,163,5,2.2833518378036595
74373,3,163,6,2.276665843057213
74374,3,163,7,2.2958821423886824
74375,3,163,8,2.301816914641444
74376,3,163,9,2.318207473183445
74377,3,163,10,2.3470493012347204
74378,3,163,11,2.3899264570840137
74379,3,163,12,2.4476765961115374
74380,3,163,13,2.520112027721469
74381,3,163,14,2.6058404419141747
74382,3,163,15,2.7022176782576914
